date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:20	223908/223908	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Jan%202023%2008:44:04%20GMT	https://metodogdf.com.br/novo/	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/novo/index.html	(from )
09:38:20	112/112	---M-Z	200	added ('OK')	text/plain	date:Mon,%2016%20Jan%202023%2012:38:00%20GMT	https://metodogdf.com.br/robots.txt		(from )
09:38:20	94889/94889	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202022%2021:44:11%20GMT	https://metodogdf.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://metodogdf.com.br/novo/)
09:38:20	217/217	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2009:44:17%20GMT	https://metodogdf.com.br/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-includes/css/classic-themes.min68b3.css	(from https://metodogdf.com.br/novo/)
09:38:21	5839/5839	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jan%202022%2017:35:14%20GMT	https://metodogdf.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.5.0	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/themes/hello-elementor/style.min0875.css	(from https://metodogdf.com.br/novo/)
09:38:21	15346/15346	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Jan%202022%2017:35:14%20GMT	https://metodogdf.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.5.0	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/themes/hello-elementor/theme.min0875.css	(from https://metodogdf.com.br/novo/)
09:38:21	107922/107922	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Apr%202022%2016:19:32%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.5	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min3ab2.css	(from https://metodogdf.com.br/novo/)
09:38:21	1261/1261	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20Jul%202022%2013:29:47%20GMT	https://metodogdf.com.br/wp-content/uploads/elementor/css/post-4.css?ver=1657373387	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/uploads/elementor/css/post-4fddc.css	(from https://metodogdf.com.br/novo/)
09:38:22	19128/19128	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Mar%202022%2012:08:08%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://metodogdf.com.br/novo/)
09:38:22	210882/210882	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2021:01:38%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.2.2	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.minee9a.css	(from https://metodogdf.com.br/novo/)
09:38:22	59344/59344	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2013:07:24%20GMT	https://metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.5	C:/Users/carlo/Documents/projetos/gdf/metodogdf.com.br/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3ab2.css	(from https://metodogdf.com.br/novo/)
